cod_insersao;descricao_kit;cod_kit;cod_sku;descricao_sku;segmento;serie;volume;envio;frequencia;usuario;info_produto;tipo_material;classificacao_produto;personalizacao
82101151001;REDE VIVO ALUNO EM 1A SERIE REDE VIVO 1O BI;82101151001;PG25LA311RV02;25 LV ALUNO EM 1A SERIE 1O BI REDE VIVO MCN;EM;1A SERIE;;;Bimestral;;;livro;Livro;REDE VIVO
82101151101;REFERENCIAL ALUNO EM 1A SERIE REFERENCIAL 1O BI;82101151101;PG25LA311CR01;25 LV ALUNO EM 1A SERIE 1O BI REFERENCIAL LCH;EM;1A SERIE;Volume 01;V1;Bimestral;Aluno;Linguagens e Ciências Humanas;Livro;Livro;REFERENCIAL
82101151101;REFERENCIAL ALUNO EM 1A SERIE REFERENCIAL 1O BI;82101151101;PG25LA311CR02;25 LV ALUNO EM 1A SERIE 1O BI REFERENCIAL MCN;EM;1A SERIE;Volume 01;V1;Bimestral;Aluno;Matemática e Ciências da Natureza;Livro;Livro;REFERENCIAL
82101151201;ROSALVO ALUNO EM 1A SERIE ROSALVO 1O BI;82101151201;PG25LA311RO01;25 LV ALUNO EM 1A SERIE 1O BI ROSALVO LCH;EM;1A SERIE;Volume 01;V1;Bimestral;Aluno;Linguagens e Ciências Humanas;Livro;Livro;ROSALVO
82101151201;ROSALVO ALUNO EM 1A SERIE ROSALVO 1O BI;82101151201;PG25LA311RO02;25 LV ALUNO EM 1A SERIE 1O BI ROSALVO MCN;EM;1A SERIE;Volume 01;V1;Bimestral;Aluno;Matemática e Ciências da Natureza;Livro;Livro;ROSALVO
82101151401;SECULO ALUNO EM 1A SERIE SECULO 1O BI;82101151401;PG25LA311SE01;25 LV ALUNO EM 1A SERIE 1O BI SECULO LCH;EM;1A SERIE;Volume 01;V1;Bimestral;Aluno;Linguagens e Ciências Humanas;Livro;Livro;SECULO
82101151401;SECULO ALUNO EM 1A SERIE SECULO 1O BI;82101151401;PG25LA311SE02;25 LV ALUNO EM 1A SERIE 1O BI SECULO MCN;EM;1A SERIE;Volume 01;V1;Bimestral;Aluno;Matemática e Ciências da Natureza;Livro;Livro;SECULO
82101151501;STATUS ALUNO EM 1A SERIE STATUS 1O BI;82101151501;PG25LA311ST01;25 LV ALUNO EM 1A SERIE 1O BI STATUS LCH;EM;1A SERIE;Volume 01;V1;Bimestral;Aluno;Linguagens e Ciências Humanas;Livro;Livro;STATUS
82101151501;STATUS ALUNO EM 1A SERIE STATUS 1O BI;82101151501;PG25LA311ST02;25 LV ALUNO EM 1A SERIE 1O BI STATUS MCN;EM;1A SERIE;Volume 01;V1;Bimestral;Aluno;Matemática e Ciências da Natureza;Livro;Livro;STATUS
82101151601;TAMANDARE ALUNO EM 1A SERIE TAMANDARE 1O BI;82101151601;PG25LA311TA01;25 LV ALUNO EM 1A SERIE 1O BI TAMANDARE LCH;EM;1A SERIE;Volume 01;V1;Bimestral;Aluno;Linguagens e Ciências Humanas;Livro;Livro;TAMANDARE
82101151601;TAMANDARE ALUNO EM 1A SERIE TAMANDARE 1O BI;82101151601;PG25LA311TA02;25 LV ALUNO EM 1A SERIE 1O BI TAMANDARE MCN;EM;1A SERIE;Volume 01;V1;Bimestral;Aluno;Matemática e Ciências da Natureza;Livro;Livro;TAMANDARE
82101152001;PET CURSOS ALUNO EM 1A SERIE PET CURSOS 1O BI;82101152001;PG25LA311PT01;25 LV ALUNO EM 1A SERIE 1O BI PET CURSOS LCH;EM;1A SERIE;Volume 01;V1;Bimestral;Aluno;Linguagens e Ciências Humanas;Livro;Livro;PET CURSOS
82101152001;PET CURSOS ALUNO EM 1A SERIE PET CURSOS 1O BI;82101152001;PG25LA311PT02;25 LV ALUNO EM 1A SERIE 1O BI PET CURSOS MCN;EM;1A SERIE;Volume 01;V1;Bimestral;Aluno;Matemática e Ciências da Natureza;Livro;Livro;PET CURSOS
82101152101;ELO ALUNO EM 1A SERIE ELO 1O BI;82101152101;PG25LA311EE01;25 LV ALUNO EM 1A SERIE 1O BI ELO LCH;EM;1A SERIE;Volume 01;V1;Bimestral;Aluno;Linguagens e Ciências Humanas;Livro;Livro;ELO
82101152101;ELO ALUNO EM 1A SERIE ELO 1O BI;82101152101;PG25LA311EE02;25 LV ALUNO EM 1A SERIE 1O BI ELO MCN;EM;1A SERIE;Volume 01;V1;Bimestral;Aluno;Matemática e Ciências da Natureza;Livro;Livro;ELO
PG23LA335SDH0;23 LV ALUNO EM ANUAL SAE APROVA HUMANAS;;PG23LA335SDH0;23 LV ALUNO EM ANUAL SAE APROVA HUMANAS;EM;ELETIVAS;Volume 01;V1;Anual;Aluno;Aprova Humanas;Livro;Livro;SAE
PG23LA335SDM0;23 LV ALUNO EM ANUAL SAE MUD CLIMATICA E ENERGIA;;PG23LA335SDM0;23 LV ALUNO EM ANUAL SAE MUD CLIMATICA E ENERGIA;EM;ELETIVAS;Volume 01;V1;Anual;Aluno;Mudanças Climáticas e Energias do Futuro;Livro;Livro;SAE
PG23LA335SDF0;23 LV ALUNO EM ANUAL SAE EDUCACAO FINANCEIRA;;PG23LA335SDF0;23 LV ALUNO EM ANUAL SAE EDUCACAO FINANCEIRA;EM;ELETIVAS;Volume 01;V1;Anual;Aluno;Educação Financeira e Tomada de Decisão;Livro;Livro;SAE
PG23LA335SDW2;23 LV ALUNO EM ANUAL SAE FILOSOFIA LV 2;;PG23LA335SDW2;23 LV ALUNO EM ANUAL SAE FILOSOFIA LV 2;EM;ELETIVAS;Volume 02;V1;Anual;Aluno;História da Filosofia e a formação do pensamento crítico 2;Livro;Livro;SAE
PG23LA335SDW1;23 LV ALUNO EM ANUAL SAE FILOSOFIA LV 1;;PG23LA335SDW1;23 LV ALUNO EM ANUAL SAE FILOSOFIA LV 1;EM;ELETIVAS;Volume 01;V1;Anual;Aluno;História da Filosofia e a formação do pensamento crítico 1;Livro;Livro;SAE
PG23LA335SDS2;23 LV ALUNO EM ANUAL SAE SOCIOLOGIA LV 2;;PG23LA335SDS2;23 LV ALUNO EM ANUAL SAE SOCIOLOGIA LV 2;EM;ELETIVAS;Volume 02;V1;Anual;Aluno;Papel da Sociologia na interpretação do mundo 2;Livro;Livro;SAE
PG23LA335SDS1;23 LV ALUNO EM ANUAL SAE SOCIOLOGIA LV 1;;PG23LA335SDS1;23 LV ALUNO EM ANUAL SAE SOCIOLOGIA LV 1;EM;ELETIVAS;Volume 01;V1;Anual;Aluno;Papel da Sociologia na interpretação do mundo 1;Livro;Livro;SAE
PG23LA335SDA2;23 LV ALUNO EM ANUAL SAE ARTE LV 2;;PG23LA335SDA2;23 LV ALUNO EM ANUAL SAE ARTE LV 2;EM;ELETIVAS;Volume 02;V1;Anual;Aluno;Voz e vez e a expressão da Arte 2;Livro;Livro;SAE
PG23LA335SDA1;23 LV ALUNO EM ANUAL SAE ARTE LV 1;;PG23LA335SDA1;23 LV ALUNO EM ANUAL SAE ARTE LV 1;EM;ELETIVAS;Volume 01;V1;Anual;Aluno;Voz e vez e a expressão da Arte 1;Livro;Livro;SAE
